,datasets_size,co2_eq_emissions,performance_score,downloads,likes,size,size_efficency,datasets_size_efficency,metric_accuracy,metric_f1,metric_rouge1,metric_rougeL,training_type_fine-tuning,training_type_pretraining,auto_False,auto_True
datasets_size,1.0,0.999375902125131,0.7354011145639098,0.03667570071629337,0.9941694697191008,0.9987118761414477,-0.06108758305742665,-0.01985945709361365,0.1244598551814486,-0.5827267240084433,0.18952076185649638,-0.015653298856596037,-0.1513931381609837,0.2138586688002235,0.06510297520635056,-0.04777189175261347
co2_eq_emissions,0.999375902125131,1.0,-0.20281403711393284,0.035600437395372234,0.9933968127577303,0.993768323758953,-0.00763207527432854,-0.019460770077532163,-0.1034095580647452,-0.04780565422295488,0.1280681048145514,-0.002404152512531804,-0.004227464493306527,0.20066098059814985,0.08981682333735543,-0.08748585327925856
performance_score,0.7354011145639098,-0.20281403711393284,1.0,0.06403532084271446,0.03299853251898858,-0.4020500423616495,0.0008405977132985281,-0.007981624139833991,0.7801686131376145,0.9881897815547275,0.9936187643609609,0.9971856506878849,,,,
downloads,0.03667570071629337,0.035600437395372234,0.06403532084271446,1.0,0.10217839196753913,0.023532948906105352,-0.01244931536851385,-0.027589810346068187,0.0607480629223956,0.06970557593041513,0.07127076086861733,-0.03167704895513334,-0.008382023748640261,0.282952869589284,0.12350780090759607,-0.1201804189669852
likes,0.9941694697191008,0.9933968127577303,0.03299853251898858,0.10217839196753913,1.0,0.9866641725885472,-0.009196780096178308,-0.023795681646628083,0.04506756980663242,0.08382701648033374,-0.006087228433626726,-0.013874877378037513,0.01158294721351998,0.21789562661050577,0.10970892590900172,-0.10691599180023385
size,0.9987118761414477,0.993768323758953,-0.4020500423616495,0.023532948906105352,0.9866641725885472,1.0,-0.0031808473738618045,-0.021409016950526986,-0.015221391458020529,-0.024821975310989723,0.046058691668103335,0.04581668167883113,0.001769875627323931,0.2161826765263284,0.09334990264571741,-0.09112968330429248
size_efficency,-0.06108758305742665,-0.00763207527432854,0.0008405977132985281,-0.01244931536851385,-0.009196780096178308,-0.0031808473738618045,1.0,0.5283582647623222,0.006653352118923628,0.0019731852893123793,-0.030045744344516838,-0.02120195344369101,-0.05567056670175835,-0.032758428285684815,-0.06822916340037215,0.0707330741559086
datasets_size_efficency,-0.01985945709361365,-0.019460770077532163,-0.007981624139833991,-0.027589810346068187,-0.023795681646628083,-0.021409016950526986,0.5283582647623222,1.0,0.23161062108283698,0.18415130789420658,-0.21298150647638464,-0.3863062514141892,0.11632419391646431,-0.07471897983425667,0.06847415136106833,-0.04855919926954131
metric_accuracy,0.1244598551814486,-0.1034095580647452,0.7801686131376145,0.0607480629223956,0.04506756980663242,-0.015221391458020529,0.006653352118923628,0.23161062108283698,1.0,0.7416255569267406,,,-0.04316125754722286,0.035000159383551284,-0.02865347883293402,0.03627378038873613
metric_f1,-0.5827267240084433,-0.04780565422295488,0.9881897815547275,0.06970557593041513,0.08382701648033374,-0.024821975310989723,0.0019731852893123793,0.18415130789420658,0.7416255569267406,1.0,,,0.014901004625816212,0.03978860879549568,0.042535376795824954,-0.03761429274206211
metric_rouge1,0.18952076185649638,0.1280681048145514,0.9936187643609609,0.07127076086861733,-0.006087228433626726,0.046058691668103335,-0.030045744344516838,-0.21298150647638464,,,1.0,0.967156674238002,0.48572899614310766,0.6952091230291925,0.585433938578437,-0.8498470130917003
metric_rougeL,-0.015653298856596037,-0.002404152512531804,0.9971856506878849,-0.03167704895513334,-0.013874877378037513,0.04581668167883113,-0.02120195344369101,-0.3863062514141892,,,0.967156674238002,1.0,0.6534320050623066,0.36310065194560914,,-0.7219989198902551
training_type_fine-tuning,-0.1513931381609837,-0.004227464493306527,,-0.008382023748640261,0.01158294721351998,0.001769875627323931,-0.05567056670175835,0.11632419391646431,-0.04316125754722286,0.014901004625816212,0.48572899614310766,0.6534320050623066,1.0,-0.031411836998135934,0.7421801388060473,-0.7449255220874436
training_type_pretraining,0.2138586688002235,0.20066098059814985,,0.282952869589284,0.21789562661050577,0.2161826765263284,-0.032758428285684815,-0.07471897983425667,0.035000159383551284,0.03978860879549568,0.6952091230291925,0.36310065194560914,-0.031411836998135934,1.0,0.3793191052543304,-0.42530134265717623
auto_False,0.06510297520635056,0.08981682333735543,,0.12350780090759607,0.10970892590900172,0.09334990264571741,-0.06822916340037215,0.06847415136106833,-0.02865347883293402,0.042535376795824954,0.585433938578437,,0.7421801388060473,0.3793191052543304,1.0,-0.9740204240313558
auto_True,-0.04777189175261347,-0.08748585327925856,,-0.1201804189669852,-0.10691599180023385,-0.09112968330429248,0.0707330741559086,-0.04855919926954131,0.03627378038873613,-0.03761429274206211,-0.8498470130917003,-0.7219989198902551,-0.7449255220874436,-0.42530134265717623,-0.9740204240313558,1.0
