,datasets_size,co2_eq_emissions,performance_score,downloads,likes,size,size_efficency,datasets_size_efficency,metric_accuracy,metric_f1,metric_rouge1,metric_rougeL,training_type_fine-tuning,training_type_pretraining,auto_False,auto_True
datasets_size,4.754042951548202e+22,6.673269000809112e+17,1213005.623230834,1631112044084836.8,84889702909119.47,1.0260291596928376e+22,-5.148775313558187e+19,-1.3062766821332937e+19,3447379.130145966,-176996919.5826203,2922837995.7857113,-384811601.66666794,-16536413594.90241,21027949527.845673,5550272158.774761,-3254020926.961058
co2_eq_emissions,6.673269000809112e+17,430108268262.7649,-18.640224079949945,1036055662.2249848,54856830.81070567,7074665233672669.0,-216355652349260.0,-179796510836795.12,-1.9441177535194871,-2.705757381073419,570.9881714470923,-6.868447651963191,-616.6185039091517,17319.043538393733,16518.36950178147,-16442.41178429635
performance_score,1213005.623230834,-18.640224079949945,0.07426866351766033,113.17260809984721,0.008501566248017076,-92211013.97031453,10204748.255207643,-14638.303942802053,0.02748901833423649,0.05303255569863163,0.06263615790921293,0.06408361658817643,0.0,0.0,0.0,0.0
downloads,1631112044084836.8,1036055662.2249848,113.17260809984721,1969145095.318643,381783.3449900656,11335138726427.133,-23878143928260.16,-16974891035134.055,71.02595720376786,126.61233934499744,12.774080922529647,-3.688607817992117,-82.72474457568119,1652.4374909921837,1536.929116831717,-1528.309685896921
likes,84889702909119.47,54856830.81070567,0.008501566248017076,381783.3449900656,7089.86738709296,901815320339.9344,-33472551378.4016,-28110913082.75171,0.006483279224740567,0.01711685080476811,-0.05431892213438734,-0.08264909251101325,0.21691312044577377,2.4145691506861873,2.590488146462822,-2.5798860120210243
size,1.0260291596928376e+22,7074665233672669.0,-92211013.97031453,11335138726427.133,901815320339.9344,1.0845211436988459e+20,-1.3736724053840036e+18,-3.043311841826465e+18,-995481.7163960226,-2421299.055683844,326599388.61497283,215694844.31050614,4262909.667181767,276565841.1081651,270095885.95505714,-270087511.669193
size_efficency,-5.148775313558187e+19,-216355652349260.0,10204748.255207643,-23878143928260.16,-33472551378.4016,-1.3736724053840036e+18,1.7183636925454122e+21,6.066006371930557e+18,43966261.993133664,18902387.4913304,-10336438134.910494,-4871593342.4341345,-530525078.90660655,-166879546.42074022,-782820837.4278445,831492673.3217907
datasets_size_efficency,-1.3062766821332937e+19,-179796510836795.12,-14638.303942802053,-16974891035134.055,-28110913082.75171,-3.043311841826465e+18,6.066006371930557e+18,8.961090705226275e+18,1904156.2216600403,731853.0953296517,-40414946662.999146,-40426918.52953432,174712206.17102548,-101359924.18131712,80637884.97616394,-45727571.71201807
metric_accuracy,3447379.130145966,-1.9441177535194871,0.02748901833423649,71.02595720376786,0.006483279224740567,-995481.7163960226,43966261.993133664,1904156.2216600403,0.025985090055144287,0.029070518035470793,,,-0.0004140695537162758,0.0004740118108138949,-0.0004997848998283431,0.0006631850425362951
metric_f1,-176996919.5826203,-2.705757381073419,0.05303255569863163,126.61233934499744,0.01711685080476811,-2421299.055683844,18902387.4913304,731853.0953296517,0.029070518035470793,0.05754620184374303,,,0.0001284023672725659,0.0009035982582464617,0.0010320006255190271,-0.000967331968243788
metric_rouge1,2922837995.7857113,570.9881714470923,0.06263615790921293,12.774080922529647,-0.05431892213438734,326599388.61497283,-10336438134.910494,-40414946662.999146,,,41.487949067793316,21.350973396142003,0.35498757786561286,0.5853956110671933,0.42785540395256927,-0.9403831889328064
metric_rougeL,-384811601.66666794,-6.868447651963191,0.06408361658817643,-3.688607817992117,-0.08264909251101325,215694844.31050614,-4871593342.4341345,-40426918.52953432,,,21.350973396142003,18.2747484504853,0.261044754926965,0.14505797078599583,0.0,-0.40610272571296074
training_type_fine-tuning,-16536413594.90241,-616.6185039091517,0.0,-82.72474457568119,0.21691312044577377,4262909.667181767,-530525078.90660655,174712206.17102548,-0.0004140695537162758,0.0001284023672725659,0.35498757786561286,0.261044754926965,0.049464699807468857,-0.0009194182120347352,0.0462889796048192,-0.04747875646947386
training_type_pretraining,21027949527.845673,17319.043538393733,0.0,1652.4374909921837,2.4145691506861873,276565841.1081651,-166879546.42074022,-101359924.18131712,0.0004740118108138949,0.0009035982582464617,0.5853956110671933,0.14505797078599583,-0.0009194182120347352,0.017319851183465223,0.013999011998159193,-0.01604012042887629
auto_False,5550272158.774761,16518.36950178147,0.0,1536.929116831717,2.590488146462822,270095885.95505714,-782820837.4278445,80637884.97616394,-0.0004997848998283431,0.0010320006255190271,0.42785540395256927,0.0,0.0462889796048192,0.013999011998159193,0.07863957911519172,-0.07827578769291624
auto_True,-3254020926.961058,-16442.41178429635,0.0,-1528.309685896921,-2.5798860120210243,-270087511.669193,831492673.3217907,-45727571.71201807,0.0006631850425362951,-0.000967331968243788,-0.9403831889328064,-0.40610272571296074,-0.04747875646947386,-0.01604012042887629,-0.07827578769291624,0.08212541659584655
